,0,1,2,3,4
351,1.0,1.0,1.0,1.0,1.0
369,1.0,1.0,1.0,1.0,1.0
386,1.0,1.0,1.0,1.0,1.0
404,1.0,1.0,1.0,1.0,1.0
421,1.0,1.0,1.0,1.0,1.0
439,1.0,1.0,1.0,1.0,1.0
457,1.0,1.0,1.0,1.0,1.0
474,1.0,1.0,1.0,1.0,1.0
492,1.0,1.0,1.0,1.0,1.0
509,1.0,1.0,1.0,1.0,1.0
527,1.0,1.0,1.0,1.0,1.0
545,1.0,1.0,1.0,1.0,1.0
562,1.0,1.0,1.0,1.0,1.0
580,1.0,1.0,1.0,1.0,1.0
597,1.0,1.0,1.0,1.0,1.0
615,1.0,1.0,1.0,1.0,1.0
632,1.0,1.0,1.0,1.0,1.0
650,1.0,1.0,1.0,1.0,1.0
668,1.0,1.0,1.0,1.0,1.0
685,1.0,1.0,1.0,1.0,1.0
703,1.0,1.0,1.0,1.0,1.0
1036,1.0,1.0,1.0,1.0,1.0
1369,1.0,1.0,1.0,1.0,1.0
1702,1.0,1.0,1.0,1.0,1.0
2035,1.0,1.0,1.0,1.0,1.0
2369,1.0,1.0,1.0,1.0,1.0
2702,1.0,1.0,1.0,1.0,1.0
3035,1.0,1.0,1.0,1.0,1.0
3368,1.0,1.0,1.0,1.0,1.0
3701,1.0,1.0,1.0,1.0,1.0
4034,1.0,1.0,1.0,1.0,1.0
4367,1.0,1.0,1.0,1.0,1.0
4701,1.0,1.0,1.0,1.0,1.0
5034,1.0,1.0,1.0,1.0,1.0
5367,1.0,1.0,1.0,1.0,1.0
5700,1.0,1.0,1.0,1.0,1.0
6033,1.0,1.0,1.0,1.0,1.0
6366,1.0,1.0,1.0,1.0,1.0
6699,1.0,1.0,1.0,1.0,1.0
7033,1.0,1.0,1.0,1.0,1.0
